time (s),reference position (m),reference velocity (m/s),position (m),velocity (m/s),voltage (V)
0,0.000165339,0.132271,6.23755e-05,0.0457989,0.944367
0.0025,0.000661355,0.264542,0.000259816,0.106699,1.44331
0.005,0.00148805,0.396813,0.000618201,0.173984,1.907
0.0075,0.00264542,0.529084,0.00115003,0.245108,2.37243
0.01,0.00413347,0.661355,0.0018638,0.319266,2.84946
0.0125,0.00595219,0.793626,0.00276666,0.39614,3.34033
0.015,0.0081016,0.925897,0.00386517,0.475558,3.84521
0.0175,0.0105817,1.05817,0.00516552,0.55739,4.36367
0.02,0.0133924,1.19044,0.00667238,0.640646,4.8824
0.0225,0.0165339,1.32271,0.00838739,0.723903,5.38902
0.025,0.020006,1.45498,0.0103105,0.80716,5.89563
0.0275,0.0238088,1.58725,0.0124418,0.890416,6.40225
0.03,0.0279422,1.71952,0.0147813,0.973673,6.90886
0.0325,0.0324064,1.85179,0.0173288,1.05693,7.41548
0.035,0.0372012,1.98406,0.0200845,1.14019,7.9221
0.0375,0.0423267,2.11634,0.0230484,1.22344,8.42871
0.04,0.0477829,2.24861,0.0262204,1.3067,8.93533
0.0425,0.0535698,2.38088,0.0296005,1.38996,9.44195
0.045,0.0596873,2.51315,0.0331888,1.47321,9.94856
0.0475,0.0661355,2.64542,0.0369852,1.55647,10.4552
0.05,0.0729144,2.77769,0.0409898,1.63973,10.9618
0.0525,0.0800239,2.90996,0.0452025,1.72298,11.4684
0.055,0.0874642,3.04223,0.0496234,1.80624,11.975
0.0575,0.0952351,3.1745,0.0542074,1.85647,12
0.06,0.103337,3.30677,0.0588884,1.88575,12
0.0625,0.111769,3.43905,0.063626,1.90281,12
0.065,0.120532,3.57132,0.0683966,1.91275,12
0.0675,0.129626,3.70359,0.0731864,1.91855,12
0.07,0.13905,3.83586,0.0779873,1.92192,12
0.0725,0.148805,3.96813,0.0827948,1.92389,12
0.075,0.158795,4,0.0876061,1.92504,12
0.0775,0.168795,4,0.0924196,1.92571,12
0.08,0.178795,4,0.0972344,1.9261,12
0.0825,0.188795,4,0.10205,1.92632,12
0.085,0.198795,4,0.106866,1.92646,12
0.0875,0.208795,4,0.111682,1.92653,12
0.09,0.218795,4,0.116499,1.92658,12
0.0925,0.228795,4,0.121315,1.9266,12
0.095,0.238795,4,0.126132,1.92662,12
0.0975,0.248795,4,0.130948,1.92663,12
0.1,0.258795,4,0.135765,1.92663,12
0.1025,0.268795,4,0.140581,1.92664,12
0.105,0.278795,4,0.145398,1.92664,12
0.1075,0.288795,4,0.150215,1.92664,12
0.11,0.298795,4,0.155031,1.92664,12
0.1125,0.308795,4,0.159848,1.92664,12
0.115,0.318795,4,0.164664,1.92664,12
0.1175,0.328795,4,0.169481,1.92664,12
0.12,0.338795,4,0.174298,1.92664,12
0.1225,0.348795,4,0.179114,1.92664,12
0.125,0.358795,4,0.183931,1.92664,12
0.1275,0.368795,4,0.188747,1.92664,12
0.13,0.378795,4,0.193564,1.92664,12
0.1325,0.388795,4,0.198381,1.92664,12
0.135,0.398795,4,0.203197,1.92664,12
0.1375,0.408795,4,0.208014,1.92664,12
0.14,0.418795,4,0.21283,1.92664,12
0.1425,0.428795,4,0.217647,1.92664,12
0.145,0.438795,4,0.222464,1.92664,12
0.1475,0.448795,4,0.22728,1.92664,12
0.15,0.458795,4,0.232097,1.92664,12
0.1525,0.468795,4,0.236913,1.92664,12
0.155,0.478795,4,0.24173,1.92664,12
0.1575,0.488795,4,0.246547,1.92664,12
0.16,0.498795,4,0.251363,1.92664,12
0.1625,0.508795,4,0.25618,1.92664,12
0.165,0.518795,4,0.260996,1.92664,12
0.1675,0.528795,4,0.265813,1.92664,12
0.17,0.538795,4,0.27063,1.92664,12
0.1725,0.548795,4,0.275446,1.92664,12
0.175,0.558795,4,0.280263,1.92664,12
0.1775,0.568795,4,0.285079,1.92664,12
0.18,0.578795,4,0.289896,1.92664,12
0.1825,0.588795,4,0.294713,1.92664,12
0.185,0.598795,4,0.299529,1.92664,12
0.1875,0.608795,4,0.304346,1.92664,12
0.19,0.618795,4,0.309162,1.92664,12
0.1925,0.628795,4,0.313979,1.92664,12
0.195,0.638795,4,0.318796,1.92664,12
0.1975,0.648795,4,0.323612,1.92664,12
0.2,0.658795,4,0.328429,1.92664,12
0.2025,0.668795,4,0.333245,1.92664,12
0.205,0.678795,4,0.338062,1.92664,12
0.2075,0.688795,4,0.342879,1.92664,12
0.21,0.698795,4,0.347695,1.92664,12
0.2125,0.708795,4,0.352512,1.92664,12
0.215,0.718795,4,0.357328,1.92664,12
0.2175,0.728795,4,0.362145,1.92664,12
0.22,0.738795,4,0.366962,1.92664,12
0.2225,0.748795,4,0.371778,1.92664,12
0.225,0.758795,4,0.376595,1.92664,12
0.2275,0.768795,4,0.381411,1.92664,12
0.23,0.778795,4,0.386228,1.92664,12
0.2325,0.788795,4,0.391045,1.92664,12
0.235,0.798795,4,0.395861,1.92664,12
0.2375,0.808795,4,0.400678,1.92664,12
0.24,0.818795,4,0.405494,1.92664,12
0.2425,0.828795,4,0.410311,1.92664,12
0.245,0.838795,4,0.415128,1.92664,12
0.2475,0.848795,4,0.419944,1.92664,12
0.25,0.858795,4,0.424761,1.92664,12
0.2525,0.868795,4,0.429577,1.92664,12
0.255,0.878795,4,0.434394,1.92664,12
0.2575,0.888795,4,0.439211,1.92664,12
0.26,0.898795,4,0.444027,1.92664,12
0.2625,0.908795,4,0.448844,1.92664,12
0.265,0.918795,4,0.45366,1.92664,12
0.2675,0.928795,4,0.458477,1.92664,12
0.27,0.938795,4,0.463294,1.92664,12
0.2725,0.948795,4,0.46811,1.92664,12
0.275,0.958795,4,0.472927,1.92664,12
0.2775,0.968795,4,0.477743,1.92664,12
0.28,0.978795,4,0.48256,1.92664,12
0.2825,0.988795,4,0.487377,1.92664,12
0.285,0.998795,4,0.492193,1.92664,12
0.2875,1.0088,4,0.49701,1.92664,12
0.29,1.0188,4,0.501826,1.92664,12
0.2925,1.0288,4,0.506643,1.92664,12
0.295,1.0388,4,0.51146,1.92664,12
0.2975,1.0488,4,0.516276,1.92664,12
0.3,1.0588,4,0.521093,1.92664,12
0.3025,1.0688,4,0.525909,1.92664,12
0.305,1.0788,4,0.530726,1.92664,12
0.3075,1.0888,4,0.535543,1.92664,12
0.31,1.0988,4,0.540359,1.92664,12
0.3125,1.1088,4,0.545176,1.92664,12
0.315,1.1188,4,0.549992,1.92664,12
0.3175,1.1288,4,0.554809,1.92664,12
0.32,1.1388,4,0.559626,1.92664,12
0.3225,1.1488,4,0.564442,1.92664,12
0.325,1.1588,4,0.569259,1.92664,12
